ממוצע,שעה,תאריך
01/06/2025,00:00,49.99
01/06/2025,01:00,50.49
01/06/2025,02:00,49.63
01/06/2025,03:00,50.09
01/06/2025,04:00,49.51
01/06/2025,05:00,49.32
01/06/2025,06:00,50.8
01/06/2025,07:00,50.23
01/06/2025,08:00,50.52
01/06/2025,09:00,50.39
01/06/2025,10:00,49.86
01/06/2025,11:00,50.65
01/06/2025,12:00,49.44
01/06/2025,13:00,49.91
01/06/2025,14:00,49.74
01/06/2025,15:00,50.37
01/06/2025,16:00,49.32
01/06/2025,17:00,49.41
01/06/2025,18:00,49.85
01/06/2025,19:00,49.85
01/06/2025,20:00,49.84
01/06/2025,21:00,50.11
01/06/2025,22:00,50.12
01/06/2025,23:00,49.26
02/06/2025,00:00,49.82
02/06/2025,01:00,50.19
02/06/2025,02:00,50.76
02/06/2025,03:00,50.3
02/06/2025,04:00,50.17
02/06/2025,05:00,49.92
02/06/2025,06:00,50.92
02/06/2025,07:00,49.94
02/06/2025,08:00,49.95
02/06/2025,09:00,50.55
02/06/2025,10:00,49.09
02/06/2025,11:00,50.34
02/06/2025,12:00,50.31
02/06/2025,13:00,49.52
02/06/2025,14:00,50.21
02/06/2025,15:00,50.36
02/06/2025,16:00,51.01
02/06/2025,17:00,50.22
02/06/2025,18:00,50.36
02/06/2025,19:00,49.38
02/06/2025,20:00,50.18
02/06/2025,21:00,49.92
02/06/2025,22:00,50.55
02/06/2025,23:00,49.57
03/06/2025,00:00,50.23
03/06/2025,01:00,50.1
03/06/2025,02:00,49.97
03/06/2025,03:00,49.9
03/06/2025,04:00,49.89
03/06/2025,05:00,50.15
03/06/2025,06:00,50.56
03/06/2025,07:00,50.5
03/06/2025,08:00,49.58
03/06/2025,09:00,50.6
03/06/2025,10:00,50.41
03/06/2025,11:00,50.07
03/06/2025,12:00,49.96
03/06/2025,13:00,49.63
03/06/2025,14:00,50.44
03/06/2025,15:00,49.92
03/06/2025,16:00,49.56
03/06/2025,17:00,49.73
03/06/2025,18:00,49.22
03/06/2025,19:00,50.11
03/06/2025,20:00,50.45
03/06/2025,21:00,50.07
03/06/2025,22:00,49.75
03/06/2025,23:00,50.13
04/06/2025,00:00,49.09
04/06/2025,01:00,50.35
04/06/2025,02:00,50.21
04/06/2025,03:00,50.21
04/06/2025,04:00,48.96
04/06/2025,05:00,50.54
04/06/2025,06:00,50.24
04/06/2025,07:00,50.08
04/06/2025,08:00,49.96
04/06/2025,09:00,49.93
04/06/2025,10:00,50.49
04/06/2025,11:00,50.16
04/06/2025,12:00,49.95
04/06/2025,13:00,49.72
04/06/2025,14:00,50.76
04/06/2025,15:00,49.69
04/06/2025,16:00,50.21
04/06/2025,17:00,49.54
04/06/2025,18:00,49.58
04/06/2025,19:00,50.28
04/06/2025,20:00,49.85
04/06/2025,21:00,49.75
04/06/2025,22:00,49.78
04/06/2025,23:00,50.49
05/06/2025,00:00,49.86
05/06/2025,01:00,49.26
05/06/2025,02:00,50.44
05/06/2025,03:00,50.33
05/06/2025,04:00,49.52
05/06/2025,05:00,50.05
05/06/2025,06:00,49.22
05/06/2025,07:00,50.05
05/06/2025,08:00,50.34
05/06/2025,09:00,49.88
05/06/2025,10:00,49.73
05/06/2025,11:00,50.21
05/06/2025,12:00,50.37
05/06/2025,13:00,49.77
05/06/2025,14:00,49.96
05/06/2025,15:00,49.87
05/06/2025,16:00,50.15
05/06/2025,17:00,50.08
05/06/2025,18:00,49.98
05/06/2025,19:00,51.15
05/06/2025,20:00,50.36
05/06/2025,21:00,49.62
05/06/2025,22:00,50.19
05/06/2025,23:00,50.22
06/06/2025,00:00,50.21
06/06/2025,01:00,50.2
06/06/2025,02:00,49.81
06/06/2025,03:00,49.77
06/06/2025,04:00,49.89
06/06/2025,05:00,49.96
06/06/2025,06:00,50.6
06/06/2025,07:00,49.85
06/06/2025,08:00,50.13
06/06/2025,09:00,50.22
06/06/2025,10:00,50.32
06/06/2025,11:00,50.38
06/06/2025,12:00,50.3
06/06/2025,13:00,49.79
06/06/2025,14:00,50.19
06/06/2025,15:00,49.97
06/06/2025,16:00,50.42
06/06/2025,17:00,49.79
06/06/2025,18:00,49.77
06/06/2025,19:00,50.66
06/06/2025,20:00,50.46
06/06/2025,21:00,50.34
06/06/2025,22:00,49.95
06/06/2025,23:00,50.09
07/06/2025,00:00,50.03
07/06/2025,01:00,49.85
07/06/2025,02:00,49.94
07/06/2025,03:00,50.33
07/06/2025,04:00,50.3
07/06/2025,05:00,50.12
07/06/2025,06:00,50.36
07/06/2025,07:00,49.61
07/06/2025,08:00,50.43
07/06/2025,09:00,50.69
07/06/2025,10:00,50.49
07/06/2025,11:00,50.31
07/06/2025,12:00,50.67
07/06/2025,13:00,50.15
07/06/2025,14:00,50.12
07/06/2025,15:00,49.4
07/06/2025,16:00,49.71
07/06/2025,17:00,50.59
07/06/2025,18:00,51.06
07/06/2025,19:00,49.79
07/06/2025,20:00,50.06
07/06/2025,21:00,50.01
07/06/2025,22:00,50.52
07/06/2025,23:00,49.54
08/06/2025,00:00,50.3
08/06/2025,01:00,50.53
08/06/2025,02:00,49.5
08/06/2025,03:00,49.98
08/06/2025,04:00,49.98
08/06/2025,05:00,50.24
08/06/2025,06:00,50.23
08/06/2025,07:00,49.8
08/06/2025,08:00,49.62
08/06/2025,09:00,50.18
08/06/2025,10:00,50.19
08/06/2025,11:00,50.64
08/06/2025,12:00,49.59
08/06/2025,13:00,50.44
08/06/2025,14:00,51.09
08/06/2025,15:00,50.0
08/06/2025,16:00,49.4
08/06/2025,17:00,49.83
08/06/2025,18:00,49.12
08/06/2025,19:00,50.43
08/06/2025,20:00,49.86
08/06/2025,21:00,49.68
08/06/2025,22:00,50.01
08/06/2025,23:00,49.87
09/06/2025,00:00,49.94
09/06/2025,01:00,50.32
09/06/2025,02:00,50.48
09/06/2025,03:00,50.4
09/06/2025,04:00,50.08
09/06/2025,05:00,50.1
09/06/2025,06:00,50.18
09/06/2025,07:00,49.96
09/06/2025,08:00,49.93
09/06/2025,09:00,49.57
09/06/2025,10:00,50.29
09/06/2025,11:00,50.18
09/06/2025,12:00,50.47
09/06/2025,13:00,50.46
09/06/2025,14:00,50.29
09/06/2025,15:00,50.42
09/06/2025,16:00,50.31
09/06/2025,17:00,50.65
09/06/2025,18:00,49.65
09/06/2025,19:00,50.04
09/06/2025,20:00,50.07
09/06/2025,21:00,50.06
09/06/2025,22:00,49.07
09/06/2025,23:00,50.59
10/06/2025,00:00,49.81
10/06/2025,01:00,49.75
